Disease,Symptom_1,Symptom_2,Symptom_3
Fungal infection,itching, skin_rash, nodal_skin_eruptions
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches
Fungal infection,itching, skin_rash, dischromic _patches
Fungal infection,itching, skin_rash, nodal_skin_eruptions
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches
Fungal infection,itching, skin_rash, dischromic _patches
Fungal infection,itching, skin_rash, nodal_skin_eruptions
Fungal infection,itching, skin_rash, nodal_skin_eruptions
Allergy, continuous_sneezing, shivering, chills
Allergy, shivering, chills, watering_from_eyes
Allergy, continuous_sneezing, chills, watering_from_eyes
Allergy, continuous_sneezing, shivering, watering_from_eyes
Allergy, continuous_sneezing, shivering, chills
Allergy, shivering, chills, watering_from_eyes
Allergy, continuous_sneezing, chills, watering_from_eyes
Allergy, continuous_sneezing, shivering, watering_from_eyes
Allergy, continuous_sneezing, shivering, chills
Allergy, continuous_sneezing, shivering, chills
GERD, stomach_pain, acidity, ulcers_on_tongue
GERD, stomach_pain, ulcers_on_tongue, vomiting
GERD, stomach_pain, acidity, vomiting
GERD, stomach_pain, acidity, ulcers_on_tongue
GERD, stomach_pain, acidity, ulcers_on_tongue
GERD, stomach_pain, acidity, ulcers_on_tongue
GERD, acidity, ulcers_on_tongue, vomiting
GERD, stomach_pain, ulcers_on_tongue, vomiting
GERD, stomach_pain, acidity, vomiting
GERD, stomach_pain, acidity, ulcers_on_tongue
Chronic cholestasis,itching, vomiting, yellowish_skin
Chronic cholestasis, vomiting, yellowish_skin, nausea
Chronic cholestasis,itching, yellowish_skin, nausea
Chronic cholestasis,itching, vomiting, nausea
Chronic cholestasis,itching, vomiting, yellowish_skin
Chronic cholestasis,itching, vomiting, yellowish_skin
Chronic cholestasis,itching, vomiting, yellowish_skin
Chronic cholestasis,itching, vomiting, yellowish_skin
Chronic cholestasis,itching, vomiting, yellowish_skin
Chronic cholestasis,itching, vomiting, yellowish_skin
Drug Reaction,itching, skin_rash, stomach_pain
